municipio,variavel,coeficiente,std_err,p_value,beta_padronizado,r2,r2_ajustado,n,intercepto
Ladário,valor_agropecuaria,-4.022097039784421e-06,0.00012600836896394996,0.9754274648772024,-0.004526205011679793,0.9692544066144139,0.9516854961083646,12,115.1560872057903
Ladário,valor_industria,-2.314585294208721e-06,3.811936618842892e-05,0.9532799017426428,-0.006611942818606155,0.9692544066144139,0.9516854961083646,12,115.1560872057903
Miranda,pib_per_capita,0.0030200376072816726,0.0011114033116776862,0.029881145722889333,1.3957343808994578,0.984531968538278,0.9756930934172939,12,171.23140722170507
Miranda,valor_administracao_publica,5.586321132414239e-05,6.554796391844387e-05,0.42227317683259447,0.26514969900139307,0.984531968538278,0.9756930934172939,12,171.23140722170507
Miranda,valor_agropecuaria,-6.100918159387264e-05,5.5136211693188676e-05,0.3050734713514409,-0.2173897398556695,0.984531968538278,0.9756930934172939,12,171.23140722170507
Miranda,valor_industria,-0.0004488900038721183,0.00010929054780628015,0.004531210518932006,-0.5504093202183459,0.984531968538278,0.9756930934172939,12,171.23140722170507
Nossa Senhora do Livramento,pib_per_capita,0.0065363135128267275,0.0015933995840819043,0.004560873293500931,1.140526029114773,0.9953344111989335,0.9926683604554669,12,176.6329881595694
Nossa Senhora do Livramento,valor_administracao_publica,0.0003404816078505131,0.00045146230887198183,0.47534403188549323,0.15060535404187536,0.9953344111989335,0.9926683604554669,12,176.6329881595694
Nossa Senhora do Livramento,valor_agropecuaria,-0.0006772372780746803,0.0001636124999552144,0.004353111828196025,-0.17689357591107557,0.9953344111989335,0.9926683604554669,12,176.6329881595694
Nossa Senhora do Livramento,valor_industria,-0.00020583349982246368,0.00010882715822908572,0.1004713587431339,-0.17941848904493832,0.9953344111989335,0.9926683604554669,12,176.6329881595694
Poconé,pib_per_capita,0.028820296998979256,0.016378149230484803,0.12185926808311319,1.1285686383210214,0.9866891202321222,0.9790829032219063,12,747.9671641348808
Poconé,valor_administracao_publica,2.6215474105348302e-05,0.0012467364621663425,0.9838107189396621,0.010767616542503706,0.9866891202321222,0.9790829032219063,12,747.9671641348808
Poconé,valor_agropecuaria,-0.0006456942836283522,0.0004683648806699643,0.21045796494448205,-0.13501096574907626,0.9866891202321222,0.9790829032219063,12,747.9671641348808
Poconé,valor_industria,-0.0006195404848180971,0.0012136247326599771,0.6254097313112421,-0.0707088918982438,0.9866891202321222,0.9790829032219063,12,747.9671641348808
Porto Esperidião,pib_per_capita,0.005001274625265839,0.005555594798342148,0.39791268505504707,1.0383426392353898,0.9789418250290278,0.9669085821884723,12,451.64771771518576
Porto Esperidião,valor_administracao_publica,0.0005832644870022545,0.0006804141914501558,0.41970031487602255,0.5164567568457559,0.9789418250290278,0.9669085821884723,12,451.64771771518576
Porto Esperidião,valor_agropecuaria,-0.0003536029482405778,0.0004468892904986245,0.45476586055094415,-0.34949692351050093,0.9789418250290278,0.9669085821884723,12,451.64771771518576
Porto Esperidião,valor_industria,-0.0005520350393170264,0.0004294071844747077,0.23948480130121758,-0.38773163297057817,0.9789418250290278,0.9669085821884723,12,451.64771771518576
Porto Murtinho,pib_per_capita,0.007723433660721896,0.01743648582875154,0.6711694711772943,0.26369625975730987,0.985357486335813,0.9769903356705633,12,3062.6560956363273
Porto Murtinho,valor_administracao_publica,0.0026677412933207925,0.001443865395642028,0.10713769104041276,0.6525058869238118,0.985357486335813,0.9769903356705633,12,3062.6560956363273
Porto Murtinho,valor_agropecuaria,0.0003125275989911587,0.00104864360697847,0.7743315897925754,0.102078516546995,0.985357486335813,0.9769903356705633,12,3062.6560956363273
